issue_a,issue_b,split_a,split_b,cosine_similarity,cross_split,decision
30573,34205,train,train,1.0000,False,
30573,34675,train,train,1.0000,False,
30573,35239,train,train,1.0000,False,
30573,36118,train,train,1.0000,False,
30573,27681,train,val,1.0000,True,
30573,28423,train,train,1.0000,False,
30573,31191,train,val,1.0000,True,
30573,32570,train,train,1.0000,False,
30573,32683,train,train,1.0000,False,
30573,33992,train,train,1.0000,False,
30573,34478,train,train,1.0000,False,
30573,36111,train,train,1.0000,False,
30573,31120,train,train,1.0000,False,
30573,36562,train,train,1.0000,False,
32439,34198,train,val,1.0000,True,
32439,34838,train,train,1.0000,False,
32439,34843,train,train,1.0000,False,
32439,35614,train,val,1.0000,True,
32439,35751,train,train,1.0000,False,
32439,35755,train,val,1.0000,True,
32439,35770,train,train,1.0000,False,
32439,35772,train,train,1.0000,False,
32439,36285,train,train,1.0000,False,
32439,36926,train,train,1.0000,False,
32439,27674,train,val,1.0000,True,
32439,28438,train,train,1.0000,False,
32439,30350,train,train,1.0000,False,
32439,34200,train,train,1.0000,False,
32439,34209,train,train,1.0000,False,
32439,30682,train,val,1.0000,True,
32439,32440,train,val,1.0000,True,
32819,32821,train,train,1.0000,False,
32819,32548,train,train,1.0000,False,
32821,32548,train,train,1.0000,False,
32910,32994,val,train,1.0000,True,
32910,34986,val,val,1.0000,False,
32910,28730,val,train,1.0000,True,
32910,30322,val,val,1.0000,False,
32910,30408,val,train,1.0000,True,
32910,30570,val,train,1.0000,True,
32910,32036,val,train,1.0000,True,
32910,34117,val,train,1.0000,True,
32910,35826,val,val,1.0000,False,
32994,34986,train,val,1.0000,True,
32994,28730,train,train,1.0000,False,
32994,30322,train,val,1.0000,True,
32994,30408,train,train,1.0000,False,
32994,30570,train,train,1.0000,False,
32994,32036,train,train,1.0000,False,
32994,34117,train,train,1.0000,False,
32994,35826,train,val,1.0000,True,
33738,34815,train,train,1.0000,False,
33738,35754,train,val,1.0000,True,
33738,34170,train,train,1.0000,False,
34161,34550,train,val,1.0000,True,
34161,35381,train,val,1.0000,True,
34180,34793,train,train,1.0000,False,
34180,37057,train,val,1.0000,True,
34180,34529,train,train,1.0000,False,
34198,34838,val,train,1.0000,True,
34198,34843,val,train,1.0000,True,
34198,35614,val,val,1.0000,False,
34198,35751,val,train,1.0000,True,
34198,35755,val,val,1.0000,False,
34198,35770,val,train,1.0000,True,
34198,35772,val,train,1.0000,True,
34198,36285,val,train,1.0000,True,
34198,36926,val,train,1.0000,True,
34198,27674,val,val,1.0000,False,
34198,28438,val,train,1.0000,True,
34198,30350,val,train,1.0000,True,
34198,34200,val,train,1.0000,True,
34198,34209,val,train,1.0000,True,
34198,30682,val,val,1.0000,False,
34198,32440,val,val,1.0000,False,
34201,34622,train,train,1.0000,False,
34201,34706,train,train,1.0000,False,
34201,34932,train,train,1.0000,False,
34201,36406,train,val,1.0000,True,
34201,36433,train,train,1.0000,False,
34201,36687,train,train,1.0000,False,
34201,32441,train,train,1.0000,False,
34201,33858,train,train,1.0000,False,
34201,35011,train,train,1.0000,False,
34205,34675,train,train,1.0000,False,
34205,35239,train,train,1.0000,False,
34205,36118,train,train,1.0000,False,
34205,27681,train,val,1.0000,True,
34205,28423,train,train,1.0000,False,
34205,31191,train,val,1.0000,True,
34205,32570,train,train,1.0000,False,
34205,32683,train,train,1.0000,False,
34205,33992,train,train,1.0000,False,
34205,34478,train,train,1.0000,False,
34205,36111,train,train,1.0000,False,
34205,31120,train,train,1.0000,False,
34205,36562,train,train,1.0000,False,
34550,35381,val,val,1.0000,False,
34622,34706,train,train,1.0000,False,
34622,34932,train,train,1.0000,False,
34622,36406,train,val,1.0000,True,
34622,36433,train,train,1.0000,False,
34622,36687,train,train,1.0000,False,
34622,32441,train,train,1.0000,False,
34622,33858,train,train,1.0000,False,
34622,35011,train,train,1.0000,False,
34675,35239,train,train,1.0000,False,
34675,36118,train,train,1.0000,False,
34675,27681,train,val,1.0000,True,
34675,28423,train,train,1.0000,False,
34675,31191,train,val,1.0000,True,
34675,32570,train,train,1.0000,False,
34675,32683,train,train,1.0000,False,
34675,33992,train,train,1.0000,False,
34675,34478,train,train,1.0000,False,
34675,36111,train,train,1.0000,False,
34675,31120,train,train,1.0000,False,
34675,36562,train,train,1.0000,False,
34706,34932,train,train,1.0000,False,
34706,36406,train,val,1.0000,True,
34706,36433,train,train,1.0000,False,
34706,36687,train,train,1.0000,False,
34706,32441,train,train,1.0000,False,
34706,33858,train,train,1.0000,False,
34706,35011,train,train,1.0000,False,
34793,37057,train,val,1.0000,True,
34793,34529,train,train,1.0000,False,
34815,35754,train,val,1.0000,True,
34815,34170,train,train,1.0000,False,
34838,34843,train,train,1.0000,False,
34838,35614,train,val,1.0000,True,
34838,35751,train,train,1.0000,False,
34838,35755,train,val,1.0000,True,
34838,35770,train,train,1.0000,False,
34838,35772,train,train,1.0000,False,
34838,36285,train,train,1.0000,False,
34838,36926,train,train,1.0000,False,
34838,27674,train,val,1.0000,True,
34838,28438,train,train,1.0000,False,
34838,30350,train,train,1.0000,False,
34838,34200,train,train,1.0000,False,
34838,34209,train,train,1.0000,False,
34838,30682,train,val,1.0000,True,
34838,32440,train,val,1.0000,True,
34843,35614,train,val,1.0000,True,
34843,35751,train,train,1.0000,False,
34843,35755,train,val,1.0000,True,
34843,35770,train,train,1.0000,False,
34843,35772,train,train,1.0000,False,
34843,36285,train,train,1.0000,False,
34843,36926,train,train,1.0000,False,
34843,27674,train,val,1.0000,True,
34843,28438,train,train,1.0000,False,
34843,30350,train,train,1.0000,False,
34843,34200,train,train,1.0000,False,
34843,34209,train,train,1.0000,False,
34843,30682,train,val,1.0000,True,
34843,32440,train,val,1.0000,True,
34932,36406,train,val,1.0000,True,
34932,36433,train,train,1.0000,False,
34932,36687,train,train,1.0000,False,
34932,32441,train,train,1.0000,False,
34932,33858,train,train,1.0000,False,
34932,35011,train,train,1.0000,False,
34986,28730,val,train,1.0000,True,
34986,30322,val,val,1.0000,False,
34986,30408,val,train,1.0000,True,
34986,30570,val,train,1.0000,True,
34986,32036,val,train,1.0000,True,
34986,34117,val,train,1.0000,True,
34986,35826,val,val,1.0000,False,
35239,36118,train,train,1.0000,False,
35239,27681,train,val,1.0000,True,
35239,28423,train,train,1.0000,False,
35239,31191,train,val,1.0000,True,
35239,32570,train,train,1.0000,False,
35239,32683,train,train,1.0000,False,
35239,33992,train,train,1.0000,False,
35239,34478,train,train,1.0000,False,
35239,36111,train,train,1.0000,False,
35239,31120,train,train,1.0000,False,
35239,36562,train,train,1.0000,False,
35442,35461,val,train,1.0000,True,
35442,35429,val,val,1.0000,False,
35461,35429,train,val,1.0000,True,
35614,35751,val,train,1.0000,True,
35614,35755,val,val,1.0000,False,
35614,35770,val,train,1.0000,True,
35614,35772,val,train,1.0000,True,
35614,36285,val,train,1.0000,True,
35614,36926,val,train,1.0000,True,
35614,27674,val,val,1.0000,False,
35614,28438,val,train,1.0000,True,
35614,30350,val,train,1.0000,True,
35614,34200,val,train,1.0000,True,
35614,34209,val,train,1.0000,True,
35614,30682,val,val,1.0000,False,
35614,32440,val,val,1.0000,False,
35751,35755,train,val,1.0000,True,
35751,35770,train,train,1.0000,False,
35751,35772,train,train,1.0000,False,
35751,36285,train,train,1.0000,False,
35751,36926,train,train,1.0000,False,
35751,27674,train,val,1.0000,True,
35751,28438,train,train,1.0000,False,
35751,30350,train,train,1.0000,False,
35751,34200,train,train,1.0000,False,
35751,34209,train,train,1.0000,False,
35751,30682,train,val,1.0000,True,
35751,32440,train,val,1.0000,True,
35754,34170,val,train,1.0000,True,
35755,35770,val,train,1.0000,True,
35755,35772,val,train,1.0000,True,
35755,36285,val,train,1.0000,True,
35755,36926,val,train,1.0000,True,
35755,27674,val,val,1.0000,False,
35755,28438,val,train,1.0000,True,
35755,30350,val,train,1.0000,True,
35755,34200,val,train,1.0000,True,
35755,34209,val,train,1.0000,True,
35755,30682,val,val,1.0000,False,
35755,32440,val,val,1.0000,False,
35770,35772,train,train,1.0000,False,
35770,36285,train,train,1.0000,False,
35770,36926,train,train,1.0000,False,
35770,27674,train,val,1.0000,True,
35770,28438,train,train,1.0000,False,
35770,30350,train,train,1.0000,False,
35770,34200,train,train,1.0000,False,
35770,34209,train,train,1.0000,False,
35770,30682,train,val,1.0000,True,
35770,32440,train,val,1.0000,True,
35772,36285,train,train,1.0000,False,
35772,36926,train,train,1.0000,False,
35772,27674,train,val,1.0000,True,
35772,28438,train,train,1.0000,False,
35772,30350,train,train,1.0000,False,
35772,34200,train,train,1.0000,False,
35772,34209,train,train,1.0000,False,
35772,30682,train,val,1.0000,True,
35772,32440,train,val,1.0000,True,
36118,27681,train,val,1.0000,True,
36118,28423,train,train,1.0000,False,
36118,31191,train,val,1.0000,True,
36118,32570,train,train,1.0000,False,
36118,32683,train,train,1.0000,False,
36118,33992,train,train,1.0000,False,
36118,34478,train,train,1.0000,False,
36118,36111,train,train,1.0000,False,
36118,31120,train,train,1.0000,False,
36118,36562,train,train,1.0000,False,
36285,36926,train,train,1.0000,False,
36285,27674,train,val,1.0000,True,
36285,28438,train,train,1.0000,False,
36285,30350,train,train,1.0000,False,
36285,34200,train,train,1.0000,False,
36285,34209,train,train,1.0000,False,
36285,30682,train,val,1.0000,True,
36285,32440,train,val,1.0000,True,
36406,36433,val,train,1.0000,True,
36406,36687,val,train,1.0000,True,
36406,32441,val,train,1.0000,True,
36406,33858,val,train,1.0000,True,
36406,35011,val,train,1.0000,True,
36433,36687,train,train,1.0000,False,
36433,32441,train,train,1.0000,False,
36433,33858,train,train,1.0000,False,
36433,35011,train,train,1.0000,False,
36687,32441,train,train,1.0000,False,
36687,33858,train,train,1.0000,False,
36687,35011,train,train,1.0000,False,
36926,27674,train,val,1.0000,True,
36926,28438,train,train,1.0000,False,
36926,30350,train,train,1.0000,False,
36926,34200,train,train,1.0000,False,
36926,34209,train,train,1.0000,False,
36926,30682,train,val,1.0000,True,
36926,32440,train,val,1.0000,True,
36928,37996,train,train,1.0000,False,
36928,37256,train,train,1.0000,False,
37044,33399,train,train,1.0000,False,
37044,34087,train,train,1.0000,False,
37057,34529,val,train,1.0000,True,
37737,37894,train,train,1.0000,False,
37996,37256,train,train,1.0000,False,
27329,27322,train,train,1.0000,False,
27674,28438,val,train,1.0000,True,
27674,30350,val,train,1.0000,True,
27674,34200,val,train,1.0000,True,
27674,34209,val,train,1.0000,True,
27674,30682,val,val,1.0000,False,
27674,32440,val,val,1.0000,False,
27681,28423,val,train,1.0000,True,
27681,31191,val,val,1.0000,False,
27681,32570,val,train,1.0000,True,
27681,32683,val,train,1.0000,True,
27681,33992,val,train,1.0000,True,
27681,34478,val,train,1.0000,True,
27681,36111,val,train,1.0000,True,
27681,31120,val,train,1.0000,True,
27681,36562,val,train,1.0000,True,
28423,31191,train,val,1.0000,True,
28423,32570,train,train,1.0000,False,
28423,32683,train,train,1.0000,False,
28423,33992,train,train,1.0000,False,
28423,34478,train,train,1.0000,False,
28423,36111,train,train,1.0000,False,
28423,31120,train,train,1.0000,False,
28423,36562,train,train,1.0000,False,
28438,30350,train,train,1.0000,False,
28438,34200,train,train,1.0000,False,
28438,34209,train,train,1.0000,False,
28438,30682,train,val,1.0000,True,
28438,32440,train,val,1.0000,True,
28730,30322,train,val,1.0000,True,
28730,30408,train,train,1.0000,False,
28730,30570,train,train,1.0000,False,
28730,32036,train,train,1.0000,False,
28730,34117,train,train,1.0000,False,
28730,35826,train,val,1.0000,True,
30322,30408,val,train,1.0000,True,
30322,30570,val,train,1.0000,True,
30322,32036,val,train,1.0000,True,
30322,34117,val,train,1.0000,True,
30322,35826,val,val,1.0000,False,
30350,34200,train,train,1.0000,False,
30350,34209,train,train,1.0000,False,
30350,30682,train,val,1.0000,True,
30350,32440,train,val,1.0000,True,
30408,30570,train,train,1.0000,False,
30408,32036,train,train,1.0000,False,
30408,34117,train,train,1.0000,False,
30408,35826,train,val,1.0000,True,
30570,32036,train,train,1.0000,False,
30570,34117,train,train,1.0000,False,
30570,35826,train,val,1.0000,True,
31191,32570,val,train,1.0000,True,
31191,32683,val,train,1.0000,True,
31191,33992,val,train,1.0000,True,
31191,34478,val,train,1.0000,True,
31191,36111,val,train,1.0000,True,
31191,31120,val,train,1.0000,True,
31191,36562,val,train,1.0000,True,
32036,34117,train,train,1.0000,False,
32036,35826,train,val,1.0000,True,
32570,32683,train,train,1.0000,False,
32570,33992,train,train,1.0000,False,
32570,34478,train,train,1.0000,False,
32570,36111,train,train,1.0000,False,
32570,31120,train,train,1.0000,False,
32570,36562,train,train,1.0000,False,
32683,33992,train,train,1.0000,False,
32683,34478,train,train,1.0000,False,
32683,36111,train,train,1.0000,False,
32683,31120,train,train,1.0000,False,
32683,36562,train,train,1.0000,False,
33399,34087,train,train,1.0000,False,
33992,34478,train,train,1.0000,False,
33992,36111,train,train,1.0000,False,
33992,31120,train,train,1.0000,False,
33992,36562,train,train,1.0000,False,
34117,35826,train,val,1.0000,True,
34200,34209,train,train,1.0000,False,
34200,30682,train,val,1.0000,True,
34200,32440,train,val,1.0000,True,
34209,30682,train,val,1.0000,True,
34209,32440,train,val,1.0000,True,
34478,36111,train,train,1.0000,False,
34478,31120,train,train,1.0000,False,
34478,36562,train,train,1.0000,False,
36111,31120,train,train,1.0000,False,
36111,36562,train,train,1.0000,False,
30682,32440,val,val,1.0000,False,
31120,36562,train,train,1.0000,False,
32441,33858,train,train,1.0000,False,
32441,35011,train,train,1.0000,False,
33858,35011,train,train,1.0000,False,
27917,31592,train,train,1.0000,False,
31347,32260,train,train,1.0000,False,
31427,31433,train,train,1.0000,False,
31840,32256,train,train,1.0000,False,
31840,34166,train,train,1.0000,False,
31840,28083,train,train,1.0000,False,
31840,34465,train,train,1.0000,False,
31840,32343,train,train,1.0000,False,
31880,32028,train,train,1.0000,False,
32059,36896,train,val,1.0000,True,
32059,32437,train,train,1.0000,False,
32256,34166,train,train,1.0000,False,
32256,28083,train,train,1.0000,False,
32256,34465,train,train,1.0000,False,
32256,32343,train,train,1.0000,False,
33295,33302,train,train,1.0000,False,
33304,33305,train,train,1.0000,False,
33304,33306,train,val,1.0000,True,
33304,33307,train,train,1.0000,False,
33304,33308,train,train,1.0000,False,
33305,33306,train,val,1.0000,True,
33305,33307,train,train,1.0000,False,
33305,33308,train,train,1.0000,False,
33306,33307,val,train,1.0000,True,
33306,33308,val,train,1.0000,True,
33307,33308,train,train,1.0000,False,
33341,28998,val,train,1.0000,True,
33455,33771,train,train,1.0000,False,
33455,34075,train,train,1.0000,False,
33455,34903,train,train,1.0000,False,
33521,34167,train,train,1.0000,False,
33741,34178,train,train,1.0000,False,
33741,34701,train,train,1.0000,False,
33741,36907,train,train,1.0000,False,
33838,36351,train,train,1.0000,False,
34162,34659,train,val,1.0000,True,
34162,30527,train,train,1.0000,False,
34162,32566,train,train,1.0000,False,
34166,28083,train,train,1.0000,False,
34166,34465,train,train,1.0000,False,
34166,32343,train,train,1.0000,False,
34171,36906,train,train,1.0000,False,
34171,34479,train,val,1.0000,True,
34176,34564,train,train,1.0000,False,
34176,34878,train,val,1.0000,True,
34176,35178,train,train,1.0000,False,
34176,35357,train,train,1.0000,False,
34176,35869,train,train,1.0000,False,
34178,34701,train,train,1.0000,False,
34178,36907,train,train,1.0000,False,
34564,34878,train,val,1.0000,True,
34564,35178,train,train,1.0000,False,
34564,35357,train,train,1.0000,False,
34564,35869,train,train,1.0000,False,
34659,30527,val,train,1.0000,True,
34659,32566,val,train,1.0000,True,
34701,36907,train,train,1.0000,False,
34777,35305,train,val,1.0000,True,
34777,34196,train,train,1.0000,False,
34777,34865,train,train,1.0000,False,
34777,36328,train,val,1.0000,True,
34878,35178,val,train,1.0000,True,
34878,35357,val,train,1.0000,True,
34878,35869,val,train,1.0000,True,
35178,35357,train,train,1.0000,False,
35178,35869,train,train,1.0000,False,
35296,34179,train,train,1.0000,False,
35304,37050,train,val,1.0000,True,
35304,37110,train,val,1.0000,True,
35304,33537,train,train,1.0000,False,
35304,35004,train,val,1.0000,True,
35305,34196,val,train,1.0000,True,
35305,34865,val,train,1.0000,True,
35305,36328,val,val,1.0000,False,
35357,35869,train,train,1.0000,False,
35358,34197,train,train,1.0000,False,
35445,35409,train,train,1.0000,False,
35445,34708,train,val,1.0000,True,
35570,36254,train,train,1.0000,False,
35570,34172,train,train,1.0000,False,
35570,35768,train,val,1.0000,True,
35759,34185,train,train,1.0000,False,
35845,35293,train,val,1.0000,True,
35853,36383,val,train,1.0000,True,
35853,36414,val,train,1.0000,True,
35853,37403,val,val,1.0000,False,
35853,37406,val,val,1.0000,False,
35853,32828,val,val,1.0000,False,
35853,34164,val,val,1.0000,False,
35853,37340,val,train,1.0000,True,
35853,35257,val,train,1.0000,True,
35853,35564,val,train,1.0000,True,
35853,35735,val,train,1.0000,True,
35853,36151,val,val,1.0000,False,
35853,36454,val,train,1.0000,True,
36237,34114,train,train,1.0000,False,
36254,34172,train,train,1.0000,False,
36254,35768,train,val,1.0000,True,
36383,36414,train,train,1.0000,False,
36383,37403,train,val,1.0000,True,
36383,37406,train,val,1.0000,True,
36383,32828,train,val,1.0000,True,
36383,34164,train,val,1.0000,True,
36383,37340,train,train,1.0000,False,
36383,35257,train,train,1.0000,False,
36383,35564,train,train,1.0000,False,
36383,35735,train,train,1.0000,False,
36383,36151,train,val,1.0000,True,
36383,36454,train,train,1.0000,False,
36414,37403,train,val,1.0000,True,
36414,37406,train,val,1.0000,True,
36414,32828,train,val,1.0000,True,
36414,34164,train,val,1.0000,True,
36414,37340,train,train,1.0000,False,
36414,35257,train,train,1.0000,False,
36414,35564,train,train,1.0000,False,
36414,35735,train,train,1.0000,False,
36414,36151,train,val,1.0000,True,
36414,36454,train,train,1.0000,False,
36787,28413,val,val,1.0000,False,
36787,30066,val,val,1.0000,False,
36787,31855,val,train,1.0000,True,
36846,34665,train,train,1.0000,False,
36860,36875,train,train,1.0000,False,
36860,37204,train,train,1.0000,False,
36875,37204,train,train,1.0000,False,
36890,37012,train,train,1.0000,False,
36896,32437,val,train,1.0000,True,
36906,34479,train,val,1.0000,True,
36917,33827,train,val,1.0000,True,
36929,37213,train,train,1.0000,False,
36930,37437,train,train,1.0000,False,
36931,37025,train,val,1.0000,True,
36933,37062,train,train,1.0000,False,
36940,37143,train,val,1.0000,True,
36944,37115,train,train,1.0000,False,
36944,38018,train,train,1.0000,False,
36944,38099,train,train,1.0000,False,
36943,38046,train,train,1.0000,False,
36943,38070,train,train,1.0000,False,
36946,37034,train,val,1.0000,True,
36953,37339,train,train,1.0000,False,
36953,38042,train,train,1.0000,False,
36953,38055,train,train,1.0000,False,
36956,37782,train,train,1.0000,False,
36955,38159,train,train,1.0000,False,
36961,37000,train,train,1.0000,False,
37050,37110,val,val,1.0000,False,
37050,33537,val,train,1.0000,True,
37050,35004,val,val,1.0000,False,
37110,33537,val,train,1.0000,True,
37110,35004,val,val,1.0000,False,
37115,38018,train,train,1.0000,False,
37115,38099,train,train,1.0000,False,
37339,38042,train,train,1.0000,False,
37339,38055,train,train,1.0000,False,
37403,37406,val,val,1.0000,False,
37403,32828,val,val,1.0000,False,
37403,34164,val,val,1.0000,False,
37403,37340,val,train,1.0000,True,
37403,35257,val,train,1.0000,True,
37403,35564,val,train,1.0000,True,
37403,35735,val,train,1.0000,True,
37403,36151,val,val,1.0000,False,
37403,36454,val,train,1.0000,True,
37406,32828,val,val,1.0000,False,
37406,34164,val,val,1.0000,False,
37406,37340,val,train,1.0000,True,
37406,35257,val,train,1.0000,True,
37406,35564,val,train,1.0000,True,
37406,35735,val,train,1.0000,True,
37406,36151,val,val,1.0000,False,
37406,36454,val,train,1.0000,True,
37581,38025,train,train,1.0000,False,
37581,38011,train,train,1.0000,False,
37588,38073,train,val,1.0000,True,
37738,37882,train,val,1.0000,True,
37741,37743,train,train,1.0000,False,
37741,37899,train,train,1.0000,False,
37741,37980,train,train,1.0000,False,
37741,38005,train,val,1.0000,True,
37741,37981,train,val,1.0000,True,
37743,37899,train,train,1.0000,False,
37743,37980,train,train,1.0000,False,
37743,38005,train,val,1.0000,True,
37743,37981,train,val,1.0000,True,
37852,38019,train,train,1.0000,False,
37852,37184,train,train,1.0000,False,
37852,38007,train,train,1.0000,False,
37899,37980,train,train,1.0000,False,
37899,38005,train,val,1.0000,True,
37899,37981,train,val,1.0000,True,
37980,38005,train,val,1.0000,True,
37980,37981,train,val,1.0000,True,
38005,37981,val,val,1.0000,False,
38018,38099,train,train,1.0000,False,
38019,37184,train,train,1.0000,False,
38019,38007,train,train,1.0000,False,
38024,38014,train,train,1.0000,False,
38025,38011,train,train,1.0000,False,
38042,38055,train,train,1.0000,False,
38046,38070,train,train,1.0000,False,
27142,30275,train,train,1.0000,False,
27142,34911,train,train,1.0000,False,
28083,34465,train,train,1.0000,False,
28083,32343,train,train,1.0000,False,
28413,30066,val,val,1.0000,False,
28413,31855,val,train,1.0000,True,
30066,31855,val,train,1.0000,True,
30275,34911,train,train,1.0000,False,
30527,32566,train,train,1.0000,False,
32828,34164,val,val,1.0000,False,
32828,37340,val,train,1.0000,True,
32828,35257,val,train,1.0000,True,
32828,35564,val,train,1.0000,True,
32828,35735,val,train,1.0000,True,
32828,36151,val,val,1.0000,False,
32828,36454,val,train,1.0000,True,
33537,35004,train,val,1.0000,True,
33560,34670,train,train,1.0000,False,
33771,34075,train,train,1.0000,False,
33771,34903,train,train,1.0000,False,
34075,34903,train,train,1.0000,False,
34078,34656,train,train,1.0000,False,
34164,37340,val,train,1.0000,True,
34164,35257,val,train,1.0000,True,
34164,35564,val,train,1.0000,True,
34164,35735,val,train,1.0000,True,
34164,36151,val,val,1.0000,False,
34164,36454,val,train,1.0000,True,
34172,35768,train,val,1.0000,True,
34181,34673,train,train,1.0000,False,
34196,34865,train,train,1.0000,False,
34196,36328,train,val,1.0000,True,
34465,32343,train,train,1.0000,False,
34865,36328,train,val,1.0000,True,
35409,34708,train,val,1.0000,True,
37184,38007,train,train,1.0000,False,
37340,35257,train,train,1.0000,False,
37340,35564,train,train,1.0000,False,
37340,35735,train,train,1.0000,False,
37340,36151,train,val,1.0000,True,
37340,36454,train,train,1.0000,False,
35257,35564,train,train,1.0000,False,
35257,35735,train,train,1.0000,False,
35257,36151,train,val,1.0000,True,
35257,36454,train,train,1.0000,False,
35564,35735,train,train,1.0000,False,
35564,36151,train,val,1.0000,True,
35564,36454,train,train,1.0000,False,
35735,36151,train,val,1.0000,True,
35735,36454,train,train,1.0000,False,
36151,36454,val,train,1.0000,True,
42008,46658,train,train,1.0000,False,
27604,27616,train,train,1.0000,False,
27773,28576,train,val,1.0000,True,
28274,32346,val,val,1.0000,False,
28274,28306,val,train,1.0000,True,
28274,30303,val,train,1.0000,True,
28326,29669,train,train,1.0000,False,
28326,31203,train,val,1.0000,True,
28326,31806,train,train,1.0000,False,
28326,32205,train,train,1.0000,False,
28326,33737,train,train,1.0000,False,
28326,34832,train,val,1.0000,True,
28326,36839,train,train,1.0000,False,
28326,36852,train,train,1.0000,False,
28326,29327,train,train,1.0000,False,
28326,29753,train,train,1.0000,False,
28326,34163,train,train,1.0000,False,
28326,36381,train,val,1.0000,True,
28326,27849,train,train,1.0000,False,
28326,30093,train,train,1.0000,False,
29669,31203,train,val,1.0000,True,
29669,31806,train,train,1.0000,False,
29669,32205,train,train,1.0000,False,
29669,33737,train,train,1.0000,False,
29669,34832,train,val,1.0000,True,
29669,36839,train,train,1.0000,False,
29669,36852,train,train,1.0000,False,
29669,29327,train,train,1.0000,False,
29669,29753,train,train,1.0000,False,
29669,34163,train,train,1.0000,False,
29669,36381,train,val,1.0000,True,
29669,27849,train,train,1.0000,False,
29669,30093,train,train,1.0000,False,
30052,32641,train,train,1.0000,False,
30052,32757,train,train,1.0000,False,
30052,32857,train,val,1.0000,True,
30052,34913,train,train,1.0000,False,
30052,28295,train,train,1.0000,False,
30052,30761,train,train,1.0000,False,
30052,30775,train,train,1.0000,False,
30052,31492,train,val,1.0000,True,
30052,32943,train,val,1.0000,True,
30052,34477,train,train,1.0000,False,
30052,30578,train,train,1.0000,False,
30052,31131,train,train,1.0000,False,
30052,33991,train,val,1.0000,True,
30052,35872,train,train,1.0000,False,
31043,31236,train,train,1.0000,False,
31043,31041,train,train,1.0000,False,
31187,34785,train,train,1.0000,False,
31187,28336,train,val,1.0000,True,
31187,31742,train,val,1.0000,True,
31187,32540,train,train,1.0000,False,
31203,31806,val,train,1.0000,True,
31203,32205,val,train,1.0000,True,
31203,33737,val,train,1.0000,True,
31203,34832,val,val,1.0000,False,
31203,36839,val,train,1.0000,True,
31203,36852,val,train,1.0000,True,
31203,29327,val,train,1.0000,True,
31203,29753,val,train,1.0000,True,
31203,34163,val,train,1.0000,True,
31203,36381,val,val,1.0000,False,
31203,27849,val,train,1.0000,True,
31203,30093,val,train,1.0000,True,
31236,31041,train,train,1.0000,False,
